Name,pct_n_TotDis,pct_n_TotChild,pct_n_OlderAdult,pct_n_LowtoNo,pct_n_LEP,pct_n_POC,pct_n_MedIll,med_pop_n_dens,med_house_n_dens
Allston,0.052687039,0.022787144,0.018967334,0.434668072,0.453635406,0.396601686,0.373004478,72.24169905,36.41458417
Back Bay,0.066075295,0.05888105,0.131277502,0.185653419,0.316930921,0.241775512,0.413597821,62.02889927,31.98646127
Bay Village,0.103410138,0.115115207,0.157695853,0.362119816,0.519815668,0.553732719,0.395661751,47.07523005,25.44682517
Brighton,0.090462176,0.06977853,0.096134559,0.280610316,0.376744874,0.325019319,0.393561434,26.4746968,11.69622835
Charlestown,0.093375509,0.200802969,0.110164852,0.252874262,0.363039114,0.242168015,0.393057364,28.33519325,15.38872677
Dorchester,0.140885286,0.250003587,0.093765693,0.32640792,0.420173614,0.728574503,0.358860176,32.41197127,11.58769957
East Boston,0.12784757,0.213860849,0.102352099,0.338080312,0.440432411,0.628353531,0.365885924,26.52489138,11.6244662
Fenway,0.045692387,0.016692461,0.018276955,0.24618616,0.264463114,0.361412042,0.371462156,64.62856792,30.42897145
Harbor Islands,0.334579439,0,0.022429907,0.652336449,0.674766355,0.691588785,0.430897196,0.652915493,0
Hyde Park,0.127645463,0.196321978,0.133795598,0.161772686,0.295568285,0.671208924,0.386642147,15.41191517,5.922554405
Jamaica Plain,0.10816312,0.172776976,0.103689853,0.307330004,0.411019858,0.52654375,0.3929036,27.39945936,11.56891594
Leather District,0.077431379,0.078786852,0.137580481,0.212300915,0.349881396,0.402914266,0.40623348,23.43771097,13.43439109
Longwood Medical Area,0.04258383,0.024274841,0.002262909,0.038263732,0.040526641,0.304464102,0.375247891,38.63468013,3.306321114
Mattapan,0.169320001,0.267619249,0.123040208,0.287919524,0.410959732,0.8541824,0.374493853,29.310412,11.0387329
Mission Hill,0.09811304,0.087393692,0.06754961,0.392850815,0.460400425,0.470588235,0.375085489,43.11224943,11.06090061
North End,0.079265403,0.060900474,0.1257109,0.186907583,0.312618483,0.175177725,0.427598341,72.58341088,48.47269291
Roslindale,0.119495514,0.218522953,0.134994178,0.184491496,0.319485674,0.542961639,0.394097715,16.70308023,6.631423769
Roxbury,0.162070118,0.250822495,0.085783684,0.427594715,0.513378399,0.863838482,0.362863055,33.02218831,13.04585754
South Boston,0.097113337,0.156568632,0.108533104,0.248833099,0.357366203,0.19295781,0.404457334,47.01506522,24.45917308
South Boston Waterfront,0.058190709,0.063895681,0.074327628,0.09796251,0.172290139,0.097473513,0.40993154,7.564920466,4.910618715
South End,0.114045764,0.155306719,0.086477605,0.274099318,0.360576923,0.388510224,0.396592016,58.21766651,33.68290235
West End,0.068874945,0.068145338,0.112651394,0.20604115,0.318692543,0.204290092,0.40972129,62.25127164,38.00437498
West Roxbury,0.112408505,0.207302196,0.15824329,0.157807598,0.316050889,0.397394563,0.3955603,8.256744328,3.266617247